epoch,phase,lr,loss,translation,rotation,bbox_corner,rotation_error_deg,confidence,segmentation,val_pose_loss_pred_mask,val_pose_loss_gt_mask,val_gt_translation,val_gt_rotation,val_gt_bbox_corner,val_gt_rotation_error_deg,val_gt_confidence
1,train,0.0001,10.306687487677095,0.17408061018626844,1.5052475904848794,0.6733404749896339,127.28104154567262,0.05993557946141428,0.37047299503669806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.0001,9.730529551603356,0.11834874741581021,1.4984850603706983,0.6247624046340281,127.01454041928662,0.002787743614302302,0.3174886015452901,9.57178521156311,9.335361169309031,0.09214897071752622,1.4984394439629145,0.5982823707923597,127.26596960729482,0.0031128371507404564
2,train,0.0002,9.628313946642567,0.11708825517687374,1.5004054112645953,0.5786814010692538,128.10496338723868,0.003423737692003021,0.29518883377822186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.0002,9.602537082166087,0.11955594066150334,1.4958665437844334,0.5708397842791616,127.54991975122569,0.0018030527833022404,0.2874634468129703,9.458805366438263,9.124337213379997,0.08811624194210281,1.4960267598531685,0.5133098265042111,127.85720140106824,0.0015400584842962194
3,train,0.0003,9.448445774182524,0.10785039017174024,1.497474520076257,0.5327857643772718,128.16815251946042,0.0024862171735999146,0.2786115571195355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.0003,9.550197051495921,0.11857577398115275,1.494634901990696,0.551931938954762,127.65105465480259,0.001879017033295858,0.28437751888924717,9.408008312692447,9.053462300981794,0.08602963454489197,1.4959061322163563,0.4854697922662813,128.19561857106734,0.0015690828500106474
4,train,0.0004,9.356150398482235,0.10280413393554223,1.4941784269573746,0.5154568392262117,128.115605637482,0.0022174667840372175,0.26721378314108574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.0004,10.281233154997533,0.17253489214546827,1.5001031117779868,0.6014929993116126,127.37872664782466,0.0018690395357838015,0.7381055761052637,9.91218037507972,9.18687132669955,0.09389342301126037,1.4997384992181038,0.5151046403512662,128.52620167634925,0.001431212028754609
5,train,0.0005,9.29420529778907,0.10061700367480007,1.4946762618351308,0.4939395841274652,128.27792396154828,0.0019787205943405475,0.2552729039214577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.0005,9.488299732305565,0.11507122269926631,1.4947664384939232,0.5414165668949789,127.97761664098623,0.0014188407717762059,0.25085294360713084,9.362873257422933,9.020848191514308,0.087971834161756,1.495405058471524,0.46370581142148193,128.43716967835718,0.0012169339603801466
6,train,0.0006,9.253923551214433,0.0973940658932965,1.493454690069062,0.4892762388792461,128.17044378547538,0.0018091345980283471,0.25086920721132194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.0006,10.253376299021195,0.16427363094170483,1.4965367931492475,0.5649937704509619,127.57637382040218,0.0019348802208919457,0.9796440133026668,9.76355428598365,9.09477632629628,0.09407398870632964,1.4992266522378337,0.469747146325452,128.62323262740153,0.0012616966322435029
7,train,0.0007,9.230872006953373,0.09658150752504124,1.4910716805034936,0.48744790581509523,128.05580360490714,0.0017430721353040213,0.24735135398169428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.0007,9.632122652871269,0.11602034016835447,1.495289008836357,0.5959222255920877,127.10412052699498,0.0012525192664446765,0.30212903532142543,9.48105814019028,9.060665050331426,0.08514360264323804,1.4958041285981938,0.4925441302511157,128.02899897828394,0.001101881102005457
8,train,0.0008,9.23096675352025,0.09609566953783352,1.4910454512049314,0.48946887702258374,127.87927290359862,0.0016815652373507492,0.24658249087199416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.0008,10.463997422432413,0.1626042004446594,1.4984297740216157,0.6028165105654268,127.44067048053353,0.0018534058745361256,1.254118880142971,9.836937982208875,9.16622034627564,0.09589313063770533,1.494211600751293,0.5116266206819184,128.31145446154537,0.0013144195004965045
9,train,0.0009000000000000001,9.255609841883793,0.09749187658772941,1.4857956541276223,0.5096113902513485,127.42404541953024,0.001644852130758058,0.24828640730104348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
